STATE,COUNTY,TRACTFIPS_STR,POPULATION,BUILDVALUE,AREA,RISK_SCORE,RISK_RATNG,EAL_SCORE,EAL_VALT,SOVI_SCORE,RESL_SCORE,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,EAL_PER_CAPITA,ALT_EAL_PC_PCTL,ALT_SVI_PCTL,ALT_LACK_RESILIENCE,ALT_RISK_SCORE,ALT_RISK_RATNG,RISK_SCORE_DIFF,ABS_RISK_SCORE_DIFF
Iowa,Black Hawk,19013001200,2282,396480234.0,0.50637327,14.819307195604866,Very Low,9.260868544049604,511888.7144925748,77.14683409,91.48560597085653,0.4265,0.5152,0.4961,0.6263,0.5208,224.31582580743856,10.980577925153955,52.080000000000005,8.514394029143475,27.050419170690805,Relatively Low,12.23111197508594,12.23111197508594
Iowa,Black Hawk,19013001301,4153,543429811.0,0.85546539,20.48565278917389,Relatively Low,18.64621744134157,713990.405090679,54.90789552,91.48560597085653,0.2997,0.8676,0.8343,0.9158,0.752,171.92160006999254,5.191852202747513,75.2,8.514394029143475,33.6934925956079,Relatively Low,13.20783980643401,13.20783980643401
Iowa,Black Hawk,19013001302,3688,565715129.0,0.80881944,4.499780005470135,Very Low,14.923550273621908,638086.2970733705,9.209856068,91.48560597085653,0.7194,0.9607,0.841,0.7632,0.8788,173.01689183117423,5.371861676930364,87.88,8.514394029143475,38.846496858990186,Relatively Low,34.34671685352005,34.34671685352005
Iowa,Black Hawk,19013001400,4542,692510410.0,1.46130192,20.826941600371015,Relatively Low,29.722620194001458,928571.9395429048,21.55007996,91.48560597085653,0.3648,0.771,0.8231,0.22,0.459,204.44120201296892,8.517290383704406,45.9,8.514394029143475,23.4699397770385,Relatively Low,2.6429981766674864,2.6429981766674864
Iowa,Black Hawk,19013001501,3064,496565173.0,2.93259954,14.947736434661625,Very Low,14.383352514268266,626734.6049916304,50.07877747,91.48560597085653,0.5342,0.6139,0.729,0.9686,0.8047,204.5478475821248,8.526764566556135,80.47,8.514394029143475,37.302203159321785,Relatively Low,22.35446672466016,22.35446672466016
Iowa,Black Hawk,19013001502,3786,567583501.0,2.35017354,8.994803372456685,Very Low,25.96942010944877,855839.1961286155,9.209856068,91.48560597085653,0.9068,0.9024,0.794,0.6566,0.9035,226.05367039847215,11.179535765040265,90.35,8.514394029143475,42.44795019863964,Relatively Moderate,33.45314682618295,33.45314682618295
Iowa,Black Hawk,19013001503,3645,785395800.0,2.57442315,10.755948771003531,Very Low,29.760199168565187,929637.5575724818,9.209856068,91.48560597085653,0.0797,0.2952,0.6685,0.1493,0.1145,255.04459741357525,14.486025580293699,11.450000000000001,8.514394029143475,12.375870615503686,Very Low,1.6199218445001549,1.6199218445001549
Iowa,Black Hawk,19013001600,2700,658262439.0,8.74179384,22.24204154923715,Relatively Low,25.990558282640865,856222.72528393,35.89883315,91.48560597085653,0.8575,0.9731,0.8959,0.7217,0.9349,317.119527882937,21.78114637612506,93.49,8.514394029143475,48.4746749736278,Relatively Moderate,26.23263342439065,26.23263342439065
Iowa,Black Hawk,19013001701,1973,245941988.0,0.61921899,7.062418988500826,Very Low,4.281654414355168,369237.4493047898,76.09903453,91.48560597085653,0.9046,0.8911,0.9843,0.5152,0.8911,187.14518464510383,6.688773093320701,89.11,8.514394029143475,39.931106996365834,Relatively Low,32.86868800786501,32.86868800786501
Iowa,Black Hawk,19013001702,2516,1078207785.0,3.41385252,40.85714625474177,Relatively Low,33.60969537543744,1007844.2334232846,68.54705917,91.48560597085653,0.9596,0.9966,0.9709,0.8339,0.991,400.57401964359485,31.132164850781617,99.1,8.514394029143475,54.92663328722325,Relatively Moderate,14.069487032481476,14.069487032481476
Iowa,Black Hawk,19013001800,1493,208725134.0,0.9083139,4.711450417989607,Very Low,2.706860511543791,309205.97038544284,76.71681573,91.48560597085653,0.9809,0.9315,0.9989,0.1975,0.8765,207.10379798087263,8.84888678351492,87.64999999999999,8.514394029143475,40.31915815695323,Relatively Moderate,35.607707738963626,35.607707738963626
Iowa,Black Hawk,19013001900,2082,470843045.0,3.9360984,7.710510981889099,Very Low,11.81741315733847,572740.2229895184,21.99490612,91.48560597085653,0.8945,0.9753,0.9642,0.4882,0.9169,275.0913655088945,16.901942207484606,91.69,8.514394029143475,45.559033097739594,Relatively Moderate,37.84852211585049,37.84852211585049
Iowa,Black Hawk,19013002000,5171,739641576.0,4.568236140000001,42.85969105633049,Relatively Low,50.325292998567306,1376236.7773811314,30.29082509,91.48560597085653,0.8608,0.5993,0.4894,0.4456,0.7329,266.14518997894635,15.793462813832306,73.29,8.514394029143475,37.700217370596064,Relatively Low,-5.159473685734426,5.159473685734426
Iowa,Black Hawk,19013002200,4229,969968729.0,1.4349036,55.18533052691663,Relatively Low,62.303591140756744,1704446.1216040703,32.87389682,91.48560597085653,0.5286,0.0527,0.1825,0.5937,0.3154,403.03762629559475,31.37849360492658,31.540000000000003,8.514394029143475,28.013481226588482,Relatively Low,-27.171849300328148,27.171849300328148
Iowa,Black Hawk,19013002301,2071,479347670.0,0.81339687,6.413137835491659,Very Low,10.758155811823285,548350.1129839456,18.54232068,91.48560597085653,0.826,0.0112,0.6305,0.4085,0.4018,264.77552534232046,15.660824253908102,40.18,8.514394029143475,24.396530018630166,Relatively Low,17.983392183138506,17.983392183138506
Iowa,Black Hawk,19013002303,3801,1049822849.0,0.58309953,8.353846336793788,Very Low,24.60013622378279,829506.9183260823,9.209856068,91.48560597085653,0.8474,0.009,0.6036,0.7845,0.5432,218.23386433203953,10.326859308384652,54.32,8.514394029143475,27.652245793144616,Relatively Low,19.29839945635083,19.29839945635083
Iowa,Black Hawk,19013002304,2450,257327312.0,0.4711278,1.778982792860285,Very Low,6.355544073091106,435513.59567486605,9.209856068,91.48560597085653,0.8597,0.0281,0.5957,0.5488,0.5376,177.76065129586368,5.788725722406443,53.76,8.514394029143475,25.38608567945442,Relatively Low,23.607102886594134,23.607102886594134
Iowa,Black Hawk,19013002400,3941,602012432.0,1.41857664,12.06878099247262,Very Low,32.14294102449679,978805.1768043052,9.209856068,91.48560597085653,0.1459,0.2694,0.3987,0.541,0.266,248.36467312973997,13.80388441496921,26.6,8.514394029143475,18.128907091107664,Very Low,6.060126098635044,6.060126098635044
Iowa,Black Hawk,19013002500,5849,1093885637.0,1.76768865,44.226035460739894,Relatively Low,46.95492871738263,1296172.4838100085,42.28691583,91.48560597085653,0.5881,0.2256,0.3438,0.7082,0.523,221.60582728842684,10.658455708195168,52.300000000000004,8.514394029143475,26.993464173059348,Relatively Low,-17.232571287680546,17.232571287680546
